,0
0,2096.611
1,2186.1377
2,2244.1125
3,2213.6562
4,2123.127
5,2034.0554
6,2023.9259
7,2078.1816
8,2092.791
9,2008.7147
10,2005.2811
11,1930.7872
12,1848.7047
13,1861.5106
14,1782.4263
15,1859.5789
16,1892.3904
17,1986.8915
18,1943.3978
19,1848.5508
20,1864.9363
21,1948.0121
22,2068.0427
23,2104.3184
24,2131.2358
25,2100.4282
26,1987.9768
27,2032.1061
28,2000.4506
29,1966.1545
30,1981.0522
31,1928.699
32,1910.0323
33,1901.5216
34,1890.4608
35,1879.4736
36,1865.5309
37,1903.1207
38,2012.3171
39,2021.1301
40,1988.2021
41,1992.1893
42,1970.5677
43,1941.5696
44,1933.1986
45,1920.4167
46,1908.8379
47,1885.4309
48,1922.2052
49,1943.8052
50,1910.5381
51,1874.4655
52,1847.6074
53,1853.9905
54,1812.85
55,1752.3483
56,1757.2506
57,1648.2843
58,1568.6335
59,1636.5918
60,1637.9801
61,1586.3798
62,1596.9089
63,1596.7632
64,1603.969
65,1575.0321
66,1548.7878
67,1534.925
68,1484.4847
69,1449.1855
70,1461.3563
71,1508.7361
72,1502.7587
73,1567.6934
74,1515.5511
75,1473.0256
76,1446.531
77,1325.224
78,1317.1147
79,1333.6671
80,1386.1879
81,1446.3782
82,1524.4165
83,1519.0962
84,1521.7454
85,1491.113
86,1464.7466
87,1458.168
88,1481.5819
89,1498.2831
90,1450.1194
91,1446.7045
92,1455.4827
93,1517.717
94,1675.8933
95,1697.4923
96,1808.479
97,1884.9689
98,1966.3688
99,1979.498
100,1924.5973
101,1909.7063
102,1926.5432
103,1943.209
104,1992.081
105,1970.5411
106,1897.6862
107,1934.6708
108,2125.2407
109,2172.54
110,2236.3591
111,2283.5693
112,2209.9395
113,2212.9448
114,2181.0981
115,2141.1902
116,2048.9053
117,2032.9985
118,2011.3845
119,1986.0093
120,1941.6627
121,1866.1886
122,1860.3103
123,1860.4524
124,1873.3618
125,1911.2986
126,1950.4458
127,1918.2625
128,1894.7042
129,1881.5007
130,1883.6046
131,1853.0675
132,1838.2737
133,1837.0597
134,1876.0032
135,1915.22
136,2018.498
137,2194.6106
138,2226.3867
139,2198.6099
140,2094.9937
141,2170.0469
142,2294.7173
143,2344.0364
144,2375.4949
145,2220.1982
146,2164.7388
147,2193.051
148,2296.8608
149,2565.32
150,2596.998
151,2521.0786
152,2393.9094
153,2230.14
154,2149.1094
155,2167.6953
156,2009.108
157,2010.0311
158,2015.3695
159,1973.0435
160,1936.7363
161,1906.9469
162,1933.2382
163,1910.1246
164,1888.8779
165,1843.2361
166,1683.6798
167,1591.0092
168,1642.4277
169,1616.1815
170,1593.7455
171,1590.9342
172,1630.3494
173,1670.5819
174,1703.4456
175,1642.7129
176,1634.7766
177,1666.766
178,1624.7949
179,1670.8779
180,1644.2031
181,1641.6775
182,1691.0448
183,1686.814
184,1681.4727
185,1641.2639
186,1636.9308
187,1671.5673
188,1525.3738
189,1526.4418
190,1465.8945
191,1438.9495
192,1451.3013
193,1486.8784
194,1503.8292
195,1480.9615
196,1473.8773
197,1475.0682
198,1502.9657
199,1529.9731
200,1561.0916
201,1568.0717
202,1556.1407
203,1566.0281
204,1569.3208
205,1589.2979
206,1626.8739
207,1669.503
208,1631.8704
209,1642.8491
210,1663.2401
211,1691.309
212,1663.1587
213,1624.4614
214,1645.8445
215,1614.4275
216,1636.9172
217,1640.1177
218,1658.8591
219,1628.428
220,1644.4644
221,1689.6997
222,1732.2552
223,1729.1583
224,1791.7891
225,1843.0447
226,1786.1134
227,1860.0437
228,1834.1831
229,1876.6414
230,1859.8324
231,1862.8835
232,1827.2303
233,1723.8568
234,1626.9402
235,1594.8269
236,1688.0854
237,1803.5668
238,1864.8549
239,1853.6315
240,1849.4542
241,1879.5627
242,1852.7247
243,1825.6116
244,1841.5707
245,1862.3938
246,1843.0712
247,1842.728
248,1817.9265
249,1837.09
250,1847.1576
251,1872.6534
252,1862.61
253,1834.7963
254,1855.9498
255,1859.3722
256,1885.9187
257,1862.4756
258,1843.3009
259,1872.8241
260,1869.3844
261,1878.5221
262,1986.6578
263,2064.8047
264,2077.188
265,2219.8762
266,2350.5696
267,2409.711
268,2411.974
269,2429.65
270,2523.5186
271,2499.0708
272,2320.7576
273,2282.6729
274,2258.203
275,2226.609
276,2152.9895
277,2050.9343
278,2074.1924
279,2099.0156
280,2118.8472
281,2161.5728
282,2135.6345
283,2117.0747
284,2123.0754
285,2023.5186
286,1978.0828
287,1956.3226
288,1976.7802
289,1996.3966
290,1938.7865
291,1938.639
292,1983.4087
293,1946.0541
294,1984.6716
295,1988.9955
296,1974.0428
297,2005.7218
298,1966.212
299,1956.8657
300,1944.9774
301,1930.3987
302,1905.867
303,1944.6729
304,1920.331
305,2010.8729
306,1984.7699
307,1938.203
308,1967.7975
309,1976.824
310,2117.978
311,2195.562
312,2210.457
313,2275.2769
314,2186.7407
315,2110.1887
316,2085.4194
317,2121.0452
318,2089.662
319,2058.5122
320,2033.4554
321,2034.7916
322,2042.7609
323,2076.9746
324,2108.6284
325,2089.91
326,1981.3049
327,1998.4869
328,2011.7793
329,2044.7325
330,2049.3694
331,2044.4171
332,2061.4548
333,2110.4868
334,2090.5818
335,2074.7236
336,2104.4302
337,2126.5417
338,2072.7148
339,2081.0725
340,2058.8933
341,2065.7517
342,2102.5842
343,2062.462
344,2066.4458
345,2084.027
