,0
0,36052.188
1,34113.63
2,35212.48
3,36381.395
4,36706.28
5,36506.33
6,36318.812
7,36048.547
8,35565.51
9,35724.594
10,36807.246
11,34949.16
12,35420.957
13,34593.062
14,34811.285
15,33570.96
16,33604.32
17,33609.195
18,34387.215
19,34252.152
20,34076.043
21,34653.027
22,35343.31
23,35613.434
24,34866.992
25,34642.465
26,33346.566
27,31407.736
28,29410.846
29,27339.701
30,27063.867
31,28095.637
32,30028.734
33,28669.223
34,27704.568
35,27184.271
36,27341.117
37,28233.682
38,27544.795
39,27969.512
40,27967.73
41,28095.354
42,28717.732
43,27905.045
44,27719.484
45,27333.734
46,27692.008
47,27214.924
48,27171.748
49,25590.898
50,25544.586
51,25015.65
52,25782.008
53,26566.457
54,26791.484
55,28580.979
56,28859.066
57,28698.62
58,29184.531
59,29198.518
60,29566.7
61,30251.418
62,31849.547
63,31382.967
64,32865.824
65,33706.316
66,34012.645
67,31888.936
68,31675.367
69,32850.633
70,32696.795
71,31673.207
72,31355.664
73,30479.412
74,27379.725
75,29296.998
76,30978.35
77,31008.5
78,31012.027
79,29873.643
80,30439.387
81,31062.012
82,31759.02
83,32492.096
84,32333.01
85,31940.555
86,30956.266
87,30623.059
88,30482.373
89,30422.838
90,30333.328
91,31143.516
92,31145.805
93,30760.574
94,30396.328
95,30944.764
96,31364.717
97,30844.938
98,30882.023
99,30103.113
100,30421.947
101,30760.205
102,30646.408
103,29153.713
104,27887.773
105,28040.059
106,30645.818
107,31228.43
108,32180.127
109,32951.242
110,33073.793
111,32487.568
112,31882.92
113,34399.152
114,34755.938
115,33300.297
116,33306.016
117,33305.957
118,32935.3
119,33064.816
120,33086.758
121,32911.18
122,32373.848
123,31675.81
124,31924.154
125,32537.926
126,33349.723
127,33898.49
128,34439.277
129,35840.734
130,36142.773
131,36093.543
132,36307.723
133,35094.684
134,34128.996
135,33640.258
136,33788.984
137,34095.273
138,33133.254
139,32841.684
140,32598.207
141,32598.207
142,32380.965
143,32735.457
144,32076.162
145,32089.076
146,32564.555
147,33120.69
148,32249.996
149,32005.783
150,31789.045
151,32414.438
152,31669.766
153,30857.26
154,29935.535
155,29648.908
156,31161.285
157,32912.715
158,33503.184
159,33923.71
160,33964.54
161,33664.32
162,33585.63
163,33160.14
164,32615.51
165,33433.098
166,32630.438
167,32573.273
168,33139.406
169,33127.77
170,33044.17
171,32725.174
172,32544.314
173,32872.84
174,32695.654
175,33301.27
176,33261.977
177,32038.4
178,29589.291
179,28838.29
180,28838.29
181,28838.29
182,28140.688
183,28458.6
184,26692.06
185,25744.836
186,26663.84
187,27534.637
188,27054.213
189,28130.602
190,28837.055
191,28960.703
192,28983.008
193,28924.8
194,26948.22
195,26728.674
196,27453.633
197,27853.17
198,27947.336
199,27399.385
200,27338.994
201,26855.746
202,26747.799
203,25673.18
204,26146.861
205,26738.281
206,25626.205
207,25155.08
208,25257.22
209,24988.205
210,25279.398
211,25335.375
212,25428.383
213,25550.477
214,25022.586
215,25033.936
216,25565.225
217,26055.252
218,26103.248
219,25550.633
220,26005.676
221,26341.256
222,26594.492
223,27712.752
224,27123.906
225,26938.701
226,27447.625
227,26784.486
228,26479.504
229,26058.312
230,25609.887
231,24960.227
232,23830.68
233,23025.008
234,24281.922
235,24574.352
236,24423.152
237,23539.857
238,23129.912
239,23672.646
240,24043.658
241,24425.0
242,23796.883
243,24286.717
244,24420.234
245,24585.2
246,23880.227
247,23426.486
248,23142.406
249,23360.148
250,23601.49
251,23556.48
252,23775.125
253,23877.402
254,23865.668
255,23771.541
256,23771.541
257,23771.541
258,23771.541
259,24283.533
260,23945.492
261,25022.117
262,25633.068
263,25626.727
264,24993.424
265,23942.455
266,23433.88
267,24086.295
268,24007.121
269,23703.277
270,23616.31
271,24069.367
272,24255.639
273,24280.605
274,24474.117
275,24510.73
276,25074.988
277,25730.547
278,25665.996
279,25453.857
280,24395.816
281,24853.277
282,24778.52
283,25370.371
284,25541.459
285,25825.79
286,26536.479
287,26607.447
288,26316.395
289,26008.924
290,25461.867
291,25894.139
292,25683.832
293,24972.834
294,24971.244
295,25182.668
296,25166.996
297,25338.492
298,25380.182
299,25237.674
300,25062.719
301,24483.236
302,24735.018
303,24277.053
304,23832.928
305,23238.975
306,23117.424
307,23140.814
308,22344.662
309,21493.297
310,21252.188
311,20157.42
312,20053.977
313,20343.54
314,20141.535
315,20655.133
316,20322.836
317,20205.826
318,19755.26
319,19135.168
320,18799.064
321,20225.855
322,19735.4
323,19917.656
324,20589.795
325,20822.72
326,20559.34
327,20434.58
328,20881.111
329,21695.42
330,23339.309
331,23179.164
332,23183.246
333,23080.719
334,23310.348
335,23310.348
336,22748.396
337,22890.344
338,23162.135
339,23059.182
340,23326.744
341,23642.729
342,23298.566
343,22908.299
344,23022.918
345,23091.848
346,22735.203
347,23027.6
348,22533.135
349,22842.92
350,22676.404
351,23248.807
352,23017.361
353,22877.092
354,23265.605
355,24238.578
356,24408.473
357,24756.555
358,25282.365
359,24573.406
360,24505.156
361,24873.865
362,24594.012
363,24102.352
364,24143.238
365,23466.633
366,23375.354
367,23280.217
368,23996.213
369,23758.906
370,23355.023
371,22839.35
372,22439.336
373,22198.223
374,22159.148
375,22021.113
376,22306.924
377,22946.953
378,22997.252
379,23837.816
380,23553.225
381,23538.664
382,23781.08
383,23911.78
384,23460.3
385,23145.52
386,22930.906
387,22647.355
388,22981.096
389,22874.906
390,22847.848
391,22442.592
392,22518.123
393,22099.764
394,21754.098
395,21465.52
396,21146.736
397,20936.574
398,21081.197
399,20752.004
400,20651.059
401,21272.844
402,21425.805
403,21601.56
404,21678.734
405,21350.08
406,21231.922
407,20911.352
408,21374.1
409,21912.17
410,22148.92
411,23681.574
412,24314.156
413,23971.393
414,23810.156
415,24181.623
416,24190.463
417,24123.984
418,24321.785
419,23762.63
420,23477.133
421,23382.086
422,22859.824
423,22729.018
424,22933.057
425,23547.95
426,23645.787
427,23134.195
428,22617.521
429,22062.5
430,19551.803
431,19764.246
432,19864.78
433,19844.742
434,20060.13
435,20333.102
436,20671.074
437,21335.947
438,21145.041
439,21083.531
440,20910.645
441,21433.812
442,21324.516
443,21461.645
444,21651.9
445,21255.174
446,21424.729
447,20760.465
448,20520.322
449,20877.627
450,20789.656
451,20783.295
452,20821.188
453,20962.814
454,21034.252
455,20951.896
456,21136.568
457,21240.613
458,21290.51
459,20799.877
460,20430.574
461,20461.834
462,20399.975
463,20625.156
464,20669.156
465,20442.521
466,20675.08
467,20780.162
468,20799.865
469,21513.87
470,22436.078
471,23303.982
472,22986.535
473,23625.652
474,23410.664
475,23077.24
476,22921.457
477,24059.336
478,24733.844
479,24818.705
480,24194.729
481,23283.256
482,23385.168
483,22797.938
484,22735.998
485,23709.494
486,23378.686
487,23150.432
488,22499.885
489,22268.664
490,22511.943
491,22686.3
492,22056.059
493,21051.88
494,20978.09
495,20918.9
496,21301.701
497,20987.414
498,21052.848
499,21124.066
500,21353.004
501,21409.334
502,21858.432
503,21717.512
504,21717.512
505,22575.83
506,22931.465
507,24025.732
508,23613.996
509,23457.266
510,23278.148
511,22851.123
512,22930.318
513,22827.795
514,22389.018
515,22970.682
516,22850.617
517,22801.162
518,22941.574
519,22877.256
520,22792.975
521,22628.44
522,22721.246
523,22610.666
524,22744.9
525,22345.64
526,22237.139
527,21668.727
528,21212.926
529,21255.967
530,21650.555
531,21044.74
532,21015.465
533,21211.305
534,21211.305
535,21211.305
536,22101.605
537,21614.322
538,21459.764
539,21285.254
540,21017.773
541,21804.752
542,21793.951
543,22078.568
544,22389.64
545,22765.451
546,22248.693
547,21975.693
548,22576.326
549,22451.992
550,22561.53
551,23042.15
552,23084.943
553,23055.754
