,0
0,8518.304
1,7491.3804
2,7661.446
3,7256.4243
4,7268.148
5,7609.6104
6,8078.8857
7,7639.0537
8,7869.7085
9,7918.247
10,8020.1045
11,9254.64
12,9527.244
13,10316.921
14,9647.716
15,9587.603
16,9466.291
17,9404.096
18,9972.606
19,9977.224
20,10938.6875
21,10422.732
22,9942.925
23,9682.379
24,9976.77
25,9997.28
26,9808.912
27,9936.829
28,10540.141
29,10212.137
30,9966.366
31,9839.872
32,9923.149
33,10326.588
34,9827.046
35,9961.869
36,9739.11
37,9553.916
38,9455.673
39,9400.092
40,9094.454
41,8611.928
42,8596.547
43,9007.916
44,9009.452
45,9096.312
46,9340.395
47,10158.209
48,10694.889
49,10934.272
50,10925.516
51,10690.591
52,11138.574
53,10641.817
54,10421.887
55,10658.129
56,10307.611
57,9958.615
58,9825.963
59,10271.681
60,9737.748
61,9519.253
62,9570.406
63,10046.371
64,9952.673
65,9789.809
66,9984.004
67,9863.636
68,9557.799
69,9821.444
70,9892.475
71,10029.969
72,10265.71
73,10097.205
74,10264.548
75,10938.465
76,10448.869
77,10714.881
78,11250.567
79,10897.375
80,11459.607
81,11617.944
82,11400.462
83,11196.2295
84,10680.024
85,10792.125
86,10583.066
87,10524.498
88,10519.214
89,9731.821
90,9699.5625
91,9436.252
92,10406.377
93,9599.178
94,9570.096
95,9949.998
96,9670.837
97,10300.089
98,10390.857
99,10906.45
100,10968.763
101,10459.474
102,10323.321
103,9777.779
104,9847.443
105,10444.268
106,10027.331
107,10069.928
108,10333.415
109,10841.153
110,10538.784
111,11041.353
112,10674.726
113,10656.7705
114,11454.4
115,11451.038
116,11555.412
117,11776.236
118,11937.153
119,12419.466
120,12634.996
121,13481.172
122,12248.428
123,12481.891
124,14306.9375
125,13792.181
126,13280.83
127,13541.364
128,13274.884
129,12611.434
130,13063.045
131,12365.283
132,12694.567
133,12650.241
134,12983.173
135,12715.95
136,14584.369
137,17126.457
138,17980.078
139,17932.219
140,18685.355
141,17274.783
142,15208.729
143,15935.85
144,15849.024
145,14981.89
146,15831.855
147,15958.541
148,16508.12
149,15583.12
150,14421.908
151,13726.83
152,13886.573
153,13806.114
154,14555.802
155,15561.641
156,14384.773
157,15017.787
158,14256.419
159,14232.353
160,14063.431
161,14634.732
162,15098.939
163,14992.687
164,14549.738
165,14341.681
166,13671.844
167,13421.546
168,13429.205
169,13731.436
170,13339.014
171,12936.235
172,12881.47
173,13426.062
174,13220.052
175,13253.819
176,13126.992
177,12740.844
178,12862.544
179,12189.894
180,12320.718
181,11910.615
182,11273.521
183,10874.488
184,11019.487
185,11096.628
186,11688.054
187,11348.73
188,11063.261
189,10789.786
190,11527.069
191,11628.807
192,11632.177
193,11474.995
194,11849.803
195,11210.717
196,11254.528
197,11530.18
198,11754.058
199,11651.069
200,11416.092
201,11915.638
202,11859.919
203,12095.3
204,12355.452
205,12326.585
206,12222.89
207,13043.044
208,13216.591
209,14538.24
210,14109.225
211,13544.799
212,14191.55
213,13733.256
214,13873.34
215,14108.2705
216,14449.688
217,13863.993
218,13240.951
219,13367.429
220,13597.05
221,13703.383
222,13575.126
223,13365.5
224,13400.09
225,13328.152
226,13571.105
227,13531.606
228,13429.981
229,13182.63
230,13476.306
231,13048.794
232,13759.349
233,14060.952
234,13854.144
235,13797.843
236,13302.042
237,14016.904
238,14134.345
239,13643.041
240,13366.701
241,13885.78
242,14041.274
243,14652.149
244,15127.834
245,15012.163
246,14372.673
247,14453.599
248,14371.185
249,15473.01
250,15813.064
251,16059.425
252,15814.305
253,15834.117
254,15329.99
255,14671.475
256,14185.242
257,13546.475
258,13969.438
259,13807.88
260,14322.95
261,14539.279
262,14516.384
263,15324.642
264,15218.742
265,14867.359
266,14883.546
267,14281.615
268,13818.015
269,14472.646
270,14254.958
271,13484.789
272,14078.487
273,13828.831
274,14233.666
275,14798.811
276,14784.84
277,14586.184
278,14897.892
279,14968.051
280,14929.601
281,14499.168
282,14144.854
283,13843.944
284,13911.271
285,14627.236
286,14604.6875
287,15142.591
288,15384.074
289,15011.568
290,14981.231
291,16121.764
292,16377.0205
293,16363.3955
294,16856.99
295,16816.688
296,16273.696
297,16352.808
298,16633.553
299,16390.309
300,16728.059
301,17728.18
302,17756.764
303,17217.373
304,16300.712
305,15986.352
306,15467.624
307,16441.479
308,16519.012
309,16991.396
310,16730.096
311,16811.162
312,18002.525
313,17635.814
314,17634.082
315,17530.35
316,17856.918
317,18097.129
318,18077.227
319,18098.404
320,18716.88
321,18909.66
322,19166.762
323,19351.564
324,18861.268
325,18801.771
326,18116.828
327,18281.531
328,18353.494
329,17944.127
330,18359.846
331,18608.709
332,18142.01
333,18375.605
334,18896.81
335,19554.938
336,19934.457
337,20399.027
338,20053.11
339,21504.334
340,21592.361
341,21054.393
342,20273.754
343,19791.686
344,21668.475
345,21436.172
346,21979.47
347,22544.236
348,22077.145
349,22433.887
350,22305.346
351,22550.379
352,21648.531
353,21796.572
354,22159.838
355,22255.838
356,22278.502
357,22843.717
358,23030.406
359,23314.697
360,22526.824
361,21901.973
362,21202.88
363,20451.959
364,20676.922
365,20137.008
366,21045.76
367,20907.584
368,20843.57
369,19779.826
370,18866.95
371,18365.896
372,17023.797
373,14519.314
374,16598.154
375,16558.838
376,16764.3
377,17868.732
378,18575.135
379,17878.543
380,17050.025
381,16811.293
382,15771.038
383,15540.917
384,15651.437
385,15665.703
386,15738.869
387,16140.612
388,16363.845
389,16127.114
390,15973.425
391,16044.243
392,16218.323
393,16379.962
394,16310.014
395,16475.354
396,15936.193
397,15994.5
398,16493.2
399,16252.404
400,16224.64
401,16833.285
402,15049.548
403,14332.256
404,14142.83
405,14055.347
406,14079.905
407,14343.513
408,14438.996
409,13771.002
410,13811.414
411,13662.569
412,13608.485
413,13032.144
414,12713.698
415,12647.472
416,12807.771
417,13048.585
418,12864.2
419,13416.8545
420,13323.113
421,13985.31
422,13920.921
423,13920.921
424,14248.734
425,14343.134
426,14090.898
427,13727.577
428,13586.419
429,14140.651
430,14108.111
431,13584.232
432,13432.256
433,13666.4
434,14580.708
435,15372.869
436,15519.6875
437,15073.325
438,15223.942
439,14958.159
440,14601.786
441,15905.682
442,15649.598
443,15112.34
444,16084.809
445,16041.397
446,16187.664
447,16895.736
448,16660.129
449,17094.174
450,15819.156
451,15951.6455
452,15104.768
453,15037.15
454,15037.459
455,15439.871
456,14963.802
457,14696.311
458,14662.45
459,13930.263
460,13980.252
461,13931.066
462,13132.743
463,12879.411
464,12286.589
465,11514.926
466,11348.488
467,12573.853
468,12616.807
469,12338.368
470,13123.62
471,12738.773
472,13226.835
473,13106.098
474,12652.453
475,12558.679
476,13247.64
477,12932.515
478,12717.489
479,12553.569
480,12551.342
481,12914.332
482,13442.473
483,13748.96
484,13665.3955
485,13546.343
486,13528.243
487,13764.807
488,14155.35
489,14183.926
490,14423.628
491,14432.478
492,14314.179
493,13965.611
494,13836.568
495,14557.658
496,14597.0205
497,14776.227
498,14740.973
499,14793.415
500,14905.889
501,14886.755
502,14812.397
503,14607.301
504,14389.827
505,14469.672
506,14675.023
507,13669.091
508,12575.554
509,13365.933
510,13323.807
511,13238.232
512,13165.539
513,13300.768
514,13385.443
515,13132.161
516,13092.772
517,13385.343
518,13230.926
519,13137.229
520,13195.078
521,12399.63
522,12591.73
523,13045.148
524,13664.094
525,13985.241
526,13787.992
527,14246.127
528,14248.64
529,14007.605
530,13991.426
531,13774.045
532,13834.44
533,13721.097
534,14013.4375
535,14663.155
536,14686.7
537,14547.304
538,14442.976
539,14432.518
540,14092.389
541,14013.036
542,13942.111
543,13982.084
544,14394.71
545,14493.691
