,0
0,20209.465
1,21749.77
2,20928.326
3,21782.996
4,22200.707
5,21629.316
6,22080.422
7,23204.562
8,22833.062
9,23063.715
10,22384.361
11,20916.37
12,20461.896
13,20501.822
14,19865.521
15,19630.723
16,20591.174
17,22732.06
18,23627.334
19,24399.066
20,24782.408
21,25424.969
22,25049.63
23,24867.037
24,24899.676
25,24679.406
26,24335.05
27,23716.68
28,22725.139
29,21982.428
30,22260.54
31,21410.088
32,21618.76
33,20487.523
34,19718.88
35,19646.998
36,21874.377
37,20706.848
38,20434.059
39,19546.88
40,19003.746
41,19085.03
42,19579.244
43,19014.254
44,19639.293
45,19580.635
46,19469.275
47,19044.436
48,18247.553
49,16538.676
50,15848.944
51,15262.772
52,14865.987
53,15893.639
54,15895.256
55,15350.729
56,16227.389
57,16429.777
58,16496.002
59,17802.398
60,17383.574
61,15702.501
62,13805.998
63,13599.935
64,12002.538
65,12151.768
66,12233.776
67,11572.132
68,11750.839
69,12253.07
70,12427.016
71,12683.426
72,12654.222
73,13048.427
74,11460.302
75,11839.504
76,11429.956
77,11257.894
78,11381.724
79,10747.71
80,10069.6045
81,9271.247
82,9335.079
83,9954.561
84,9912.175
85,9947.398
86,10283.807
87,10366.974
88,10298.433
89,10509.897
90,10492.563
91,9397.855
92,9340.058
93,9094.84
94,8055.913
95,7920.424
96,6777.0254
97,6561.2285
98,6362.9775
99,6078.283
100,6201.113
101,7072.5767
102,8155.5977
103,7053.452
104,8037.9487
105,7989.208
106,9749.31
107,9872.314
108,10906.9795
109,12364.011
110,12515.442
111,12898.154
112,12190.297
113,12309.525
114,12694.737
115,12208.468
116,10886.781
117,9962.116
118,9828.813
119,9074.252
120,10251.42
121,11377.242
122,11681.047
123,11855.789
124,12637.7705
125,13705.448
126,13451.674
127,13062.661
128,13706.389
129,14023.873
130,13343.402
131,13382.852
132,14155.82
133,14042.3545
134,15278.391
135,14600.689
136,13811.263
137,13845.227
138,13089.503
139,12970.929
140,12055.47
141,12055.47
142,11510.617
143,11955.922
144,10793.82
145,11263.84
146,11233.126
147,11141.082
148,10713.521
149,10498.59
150,11057.509
151,11288.599
152,11041.059
153,10528.146
154,9512.188
155,9528.905
156,10344.352
157,10666.1045
158,11264.468
159,12000.112
160,11947.45
161,12076.719
162,12009.484
163,11960.923
164,11765.967
165,12205.29
166,11704.385
167,11573.178
168,11503.9795
169,11622.973
170,11830.498
171,11768.2
172,11090.199
173,11112.299
174,10815.054
175,11019.074
176,10927.916
177,11036.293
178,11387.224
179,11417.546
180,11417.546
181,11417.546
182,12023.842
183,11523.5625
184,9929.012
185,9695.108
186,10025.345
187,9872.4
188,9290.764
189,10249.738
190,10120.112
191,10230.564
192,10033.527
193,10219.537
194,9870.888
195,9864.136
196,9905.587
197,10080.156
198,9899.446
199,9499.123
200,9404.033
201,8693.997
202,8129.367
203,7330.873
204,7303.3164
205,6590.7793
206,6850.702
207,6699.2324
208,7346.7314
209,6768.8433
210,6982.965
211,6869.7324
212,6666.1816
213,6658.592
214,6618.253
215,6439.1323
216,7112.17
217,7292.473
218,7451.763
219,7516.421
220,7207.107
221,7133.353
222,7271.6577
223,7620.661
224,7057.3843
225,7249.5635
226,7099.901
227,7028.111
228,7008.209
229,6596.7637
230,6296.6006
231,6172.4624
232,5868.404
233,6173.832
234,6463.113
235,6196.374
236,5940.081
237,6035.9673
238,6079.8013
239,5914.291
240,6022.401
241,6267.499
242,6602.5093
243,6657.892
244,6840.7056
245,6679.613
246,6793.8105
247,6850.657
248,6460.465
249,6446.3633
250,6293.3413
251,5788.2627
252,5708.7773
253,5602.9263
254,5664.521
255,5658.805
256,5658.805
257,5658.805
258,5658.805
259,6436.61
260,6580.197
261,7550.5513
262,8711.8
263,8840.3
264,8847.436
265,8110.6104
266,9185.093
267,9251.205
268,9127.836
269,9943.114
270,9361.988
271,9394.254
272,9481.931
273,9832.737
274,9326.952
275,9182.252
276,8981.496
277,9720.718
278,9314.242
279,9156.172
280,8257.051
281,8323.187
282,8168.613
283,8559.312
284,9095.082
285,9597.313
286,9738.348
287,9802.797
288,9746.358
289,9605.501
290,9427.03
291,10766.739
292,10214.982
293,9746.73
294,9699.849
295,9984.048
296,9723.462
297,9718.549
298,9720.369
299,8604.522
300,8329.65
301,8406.662
302,8568.275
303,8748.157
304,8580.331
305,7980.9526
306,7296.823
307,7502.228
308,7561.902
309,7666.7456
310,7702.1104
311,7496.284
