,0
0,6918.474
1,6672.9414
2,6317.807
3,6330.314
4,6447.903
5,6274.689
6,6094.213
7,6184.861
8,5936.6406
9,5931.973
10,5717.295
11,5219.301
12,5086.4287
13,5046.0894
14,5015.0337
15,5059.5073
16,5316.5815
17,5974.9253
18,6156.1084
19,6479.6777
20,6564.9614
21,6569.374
22,6624.6226
23,6622.4507
24,6567.0376
25,6375.099
26,6147.1855
27,5792.7427
28,5668.38
29,5548.4546
30,5820.072
31,5604.2905
32,5687.96
33,5569.581
34,5413.221
35,5480.398
36,6130.853
37,5806.1704
38,5710.251
39,5488.2397
40,5614.7314
41,5581.405
42,5561.716
43,5399.9395
44,5555.349
45,5636.5654
46,5751.86
47,5579.12
48,5481.093
49,5422.706
50,5328.227
51,5562.808
52,5493.2944
53,5901.376
54,5698.001
55,5600.755
56,6085.9004
57,6183.0615
58,6365.9673
59,7212.7847
60,6879.714
61,6392.432
62,5457.7812
63,4792.542
64,4130.546
65,3912.1282
66,3893.128
67,3650.1519
68,3598.604
69,3765.0496
70,3622.562
71,3608.898
72,3585.4663
73,3737.096
74,3273.8782
75,3267.5913
76,3188.165
77,3048.63
78,3054.3591
79,2993.4446
80,2809.5913
81,2613.552
82,2589.7073
83,2869.1028
84,2919.3892
85,2960.3962
86,2986.704
87,2987.6855
88,2965.3816
89,2940.3394
90,2919.3892
91,2775.4287
92,2771.087
93,2929.261
94,2878.4482
95,2836.583
96,2592.566
97,2639.8633
98,2730.8098
99,2790.1885
100,2885.22
101,3175.2532
102,3643.693
103,3307.884
104,3468.668
105,3630.355
106,3540.401
107,3363.74
108,3405.6487
109,3790.346
110,3857.4358
111,3958.7456
112,3707.221
113,3563.7805
114,3568.8286
115,3518.3142
116,3390.8037
117,3254.0083
118,3167.453
119,3130.9453
120,3422.9375
121,3590.676
122,3490.587
123,3415.4287
124,3398.0876
125,3592.638
126,3540.8633
127,3457.1948
128,3492.5496
129,3615.6626
130,3611.831
131,3802.677
132,4012.668
133,4181.2266
134,4700.6323
135,4617.422
136,4378.483
137,4293.9233
138,4133.367
139,4079.0176
140,3764.428
141,3764.428
142,3867.5881
143,4086.1213
144,3703.7886
145,3699.554
146,3670.0413
147,3631.8557
148,3655.4924
149,3656.9504
150,3737.5679
151,3740.0542
152,3668.167
153,3584.682
154,3422.826
155,3396.2012
156,3492.7998
157,3545.7676
158,3591.4907
159,3774.2754
160,3761.0408
161,3742.7417
162,3686.387
163,3604.3694
164,3488.3606
165,3520.9077
166,3465.377
167,3396.6711
168,3421.306
169,3438.3015
170,3475.9514
171,3411.4722
172,3333.5574
173,3333.6409
174,3272.9194
175,3290.3586
176,3299.197
177,3248.0193
178,3346.9856
179,3363.955
180,3363.955
181,3363.955
182,3429.1394
183,3449.1934
184,3006.732
185,2878.7937
186,2893.364
187,2860.4666
188,2779.0068
189,3004.7576
190,3023.2693
191,2996.0
192,2926.1155
193,2951.1775
194,2898.452
195,2898.0842
196,2885.022
197,2936.1533
198,2940.934
199,2899.3152
200,2838.575
201,2708.6738
202,2598.4153
203,2494.346
204,2524.3857
205,2566.165
206,2525.3906
207,2477.6824
208,2529.7915
209,2466.3787
210,2436.7017
211,2399.352
212,2322.9478
213,2321.2969
214,2246.0754
215,2211.6611
216,2392.8955
217,2425.0718
218,2513.196
219,2552.0923
220,2442.674
221,2373.7683
222,2394.18
223,2478.9226
224,2369.4167
225,2403.1892
226,2448.799
227,2365.8955
