,0
0,984.15924
1,1139.6044
2,1193.7388
3,1023.77264
4,1009.1137
5,987.61304
6,1044.0077
7,997.4159
8,985.48126
9,994.4308
10,1001.42896
11,973.9128
12,997.4193
13,994.91077
14,987.9099
15,972.8282
16,990.3538
17,944.6058
18,922.5428
19,915.022
20,945.5719
21,946.08954
22,963.6136
23,958.37286
24,994.91644
25,1034.791
26,990.6048
27,1025.3247
28,995.9418
29,872.14185
30,887.4303
31,840.0293
32,971.91077
33,846.4308
34,904.0536
35,901.2649
36,1018.00256
37,1038.4465
38,1041.2358
39,954.10956
40,967.0491
41,963.1831
42,994.9092
43,1003.0164
44,994.90485
45,1044.3113
46,1037.3322
47,1042.6276
48,1201.0673
49,1386.1163
50,1350.8184
51,1133.7733
52,1176.6361
53,1082.3947
54,1200.8314
55,1188.1952
56,1130.117
57,1148.866
58,1139.3662
59,1080.431
60,1268.7257
61,1085.8654
62,1096.514
63,1235.7848
64,1378.5812
65,1412.0497
66,1386.2288
67,1300.4807
68,1104.3083
69,1258.5854
70,1188.6494
71,1025.9379
72,1041.229
73,1117.224
74,1056.7974
75,1217.3579
76,1290.6067
77,1305.8881
78,1512.7794
79,1755.0225
80,2006.7642
81,2303.403
82,1836.1117
83,1627.2893
84,1634.7289
85,1374.1656
86,1296.5321
87,1255.9934
88,1236.732
89,1215.4989
90,1202.4362
91,1149.2352
92,1139.4419
93,1125.445
94,1002.1354
95,1147.6405
96,1249.8257
97,1060.6809
98,985.6776
99,972.9717
100,999.0898
101,957.44775
102,1013.5496
103,921.7928
104,1032.2838
105,1021.53125
106,1080.7214
107,1047.6368
108,1127.7466
109,1129.3099
110,1120.024
111,1034.7275
112,1009.53864
113,1047.2644
114,1087.9803
115,989.912
116,992.7865
117,948.1764
118,1094.4973
119,1006.0079
120,1064.9178
121,991.91486
122,936.85455
123,1000.5936
124,982.1293
125,976.6949
126,986.874
127,993.3515
128,995.5086
129,1132.1682
130,1030.0972
131,998.45996
132,1021.5688
133,1030.5468
134,1034.6703
135,1000.8929
136,964.2951
137,994.3997
138,969.11084
139,968.0016
140,1120.007
141,1120.007
142,1476.6628
143,1227.9264
144,1066.0007
145,956.72614
146,1096.1129
147,1268.9753
148,1109.1848
149,1315.919
150,1513.7504
151,1610.0802
152,1356.2301
153,1142.2219
154,1331.2153
155,1341.117
156,1296.5574
157,1425.6051
158,1271.5651
159,1429.7427
160,1406.4216
161,1335.3898
162,1371.4092
163,1359.5508
164,1506.1646
165,1423.824
166,1547.6348
167,1787.5713
168,1657.4435
169,1921.2131
170,2195.9255
171,2110.0002
172,2150.4146
173,1951.0619
174,2180.2812
175,2115.852
176,2007.9059
177,2102.4155
178,1874.662
179,1912.2416
180,1912.2416
181,1912.2416
182,1946.4779
183,1883.9567
184,1591.3469
185,1925.9524
186,2216.7776
187,2147.7896
188,1947.0406
189,1774.8867
190,1877.3546
191,1768.4785
192,1866.8855
193,1804.8013
194,1818.5288
195,1791.3583
196,1670.2001
197,1644.566
198,1681.1577
199,1671.3064
200,1958.9434
201,1583.0803
202,1764.6417
203,1652.8949
204,1639.7784
205,1624.257
206,1613.0195
207,1548.5886
208,1598.1193
209,1456.3732
210,1554.3684
211,1413.0908
212,1452.4141
213,1457.1174
214,1443.3306
215,1446.3895
216,1311.3234
217,1208.5803
218,1270.1084
219,1390.7362
220,1469.9331
221,1270.6166
222,1208.6228
223,1252.4855
224,1272.1068
225,1400.8322
226,1325.2283
227,1292.4298
228,1304.4642
229,1237.1499
230,1296.067
231,1249.2406
232,1189.7584
233,1221.7072
234,1182.9781
235,1256.092
236,1166.8342
237,1143.2958
238,1186.672
239,1070.1921
240,1044.7188
241,1001.2531
242,1016.49347
243,1169.8365
244,1337.1844
245,1545.1731
246,1280.7886
247,1525.8202
248,1365.2894
249,1378.3135
250,1176.6074
251,1099.9729
252,1146.5513
253,1126.1262
254,1096.0134
255,1239.3528
256,1184.1569
257,1213.2959
258,1086.924
259,1130.9044
260,1173.2452
261,1278.9838
262,1234.3094
263,1179.2128
264,1152.088
265,1041.6849
266,1094.8896
267,1264.6499
268,1147.3969
269,1141.9468
270,1101.8887
271,1275.7385
272,1188.8767
273,1195.8317
274,1199.3947
275,1150.9894
276,1335.0271
277,1295.4811
278,1181.1561
279,1248.7557
280,1229.2758
281,1224.6824
282,1273.9786
283,1274.5253
284,1274.8152
285,1263.74
286,1295.1444
287,1280.2177
288,1315.2755
289,1383.4696
290,1301.0425
291,1302.034
292,1344.489
293,1366.9144
294,1312.1603
295,1386.3901
296,1331.3638
297,1398.2268
298,1415.6112
299,1493.1836
300,1566.9296
301,1333.083
302,1387.2432
303,1375.0525
304,1355.328
305,1335.8656
306,1433.6676
307,1653.4579
308,1398.6298
309,1411.7668
310,1561.9441
311,1809.3993
312,1519.525
313,1349.0648
