,0
0,4703.403
1,5079.802
2,4726.7407
3,4903.72
4,4905.105
5,4710.269
6,4544.5576
7,4410.6694
8,4436.255
9,4410.7183
10,4355.797
11,4107.6206
12,3895.3384
13,3932.819
14,3976.5273
15,3869.7026
16,3957.0388
17,4383.7886
18,4275.8877
19,4208.871
20,4257.418
21,4465.5093
22,4477.399
23,4259.838
24,4346.0415
25,4325.185
26,4137.7886
27,3912.5503
28,3988.4402
29,3871.8857
30,3819.306
31,3834.6086
32,3775.6265
33,4067.2917
34,3661.4111
35,3486.866
36,3844.7388
37,3587.3362
38,3565.3306
39,3472.5657
40,3486.866
41,3349.1863
42,3526.9446
43,3452.2732
44,3801.1802
45,3838.912
46,3977.4922
47,4058.301
48,3894.3577
49,3916.769
50,3841.1006
51,3615.7725
52,3534.779
53,3637.5671
54,3677.5544
55,3527.3735
56,3641.139
57,3574.08
58,3539.0242
59,3519.9487
60,3492.9363
61,3437.213
62,3353.6355
63,3252.0364
64,3244.462
65,3107.1118
66,2985.3555
67,2983.6023
68,3005.475
69,3280.9937
70,3060.9807
71,3018.104
72,2922.1921
73,2947.074
74,2645.5806
75,2686.2058
76,2676.098
77,2675.4673
78,2693.6028
79,2633.1057
80,2679.6907
81,2563.6572
82,2408.1191
83,2436.065
84,2392.6404
85,2433.462
86,2446.2876
87,2432.1936
88,2381.3418
89,2579.3494
90,2466.1926
91,2493.037
92,2426.5725
93,2427.2136
94,2281.3005
95,2271.4988
96,2137.8638
97,1936.205
98,1951.6738
99,1830.0277
100,1798.9686
101,2000.8934
102,2229.606
103,2031.6589
104,2058.1992
105,1960.1422
106,2295.9924
107,2138.1626
108,2197.159
109,2425.706
110,2355.93
111,2833.8982
112,2788.6458
113,2666.151
114,2728.5386
115,2588.2078
116,2587.0999
117,2314.428
118,2205.671
119,2167.6836
120,2234.5664
121,2280.6917
122,2291.9734
123,2267.7964
124,2222.268
125,2345.9622
126,2403.9404
127,2298.6846
128,2266.9016
129,2510.7732
130,2554.1982
131,2503.5652
132,2682.3206
133,3284.578
134,3026.1704
135,2926.6902
136,2839.7695
137,2776.4368
138,2699.6062
139,2517.2002
140,2535.23
141,2535.23
142,2415.2043
143,2427.7297
144,2269.8687
145,2218.1577
146,2227.8962
147,2210.8918
148,2132.1797
149,2086.2834
150,2237.0425
151,2256.765
152,2226.95
153,2228.0842
154,2099.906
155,2072.644
156,2111.478
157,2114.2314
158,2161.7136
159,2259.163
160,2181.3428
161,2220.3442
162,2177.5767
163,2182.728
164,2110.4028
165,2114.8704
166,2134.5088
167,2094.7488
168,2092.9614
169,2108.1636
170,2364.6028
171,2217.4385
172,2129.6003
173,2091.0225
174,2080.5889
175,2092.1143
176,2097.2104
177,2069.673
178,2056.0461
179,2004.8304
180,2004.8304
181,2004.8304
182,2045.2125
183,2065.7598
184,1903.4375
185,1840.7937
186,1891.9095
187,1827.143
188,1756.6975
189,1813.5178
190,1806.7512
191,1825.0208
192,1810.8755
193,1824.7712
194,1795.4816
195,1743.1217
196,1890.3943
197,1884.0027
198,2021.7645
199,1952.9086
200,1872.978
201,1967.6063
202,1856.1686
203,1765.1179
204,1671.0985
205,1720.2354
206,1715.4695
207,1698.8164
208,1748.174
209,1681.8947
210,1670.975
211,1648.0336
212,1625.7305
213,1588.1576
214,1605.4005
215,1579.4856
216,1704.0624
217,1801.9125
218,1750.7809
219,1815.2676
220,1741.7272
221,1696.1182
222,1674.0463
223,1655.9548
224,1617.6825
225,1622.5712
226,1668.7694
227,1646.6003
228,1647.8634
229,1637.085
230,1604.8304
231,1606.4153
232,1583.818
233,1592.5294
234,1669.4597
235,1765.7728
236,1655.6644
237,1640.3435
238,1579.4613
239,1579.7405
240,1566.4287
241,1607.8235
242,1556.7871
243,1615.0748
244,1670.8265
245,1633.6945
246,1629.9092
247,1662.456
248,1612.5881
249,1641.2203
250,1620.7058
251,1564.231
252,1487.1503
253,1463.1953
254,1479.0522
255,1611.0729
256,1566.9042
257,1770.6648
258,1925.6144
259,1989.7754
260,1959.0295
261,1849.3147
262,1852.7847
263,1944.8192
264,1899.559
265,1842.5244
266,1813.5619
267,1824.4421
268,1959.3658
269,2135.601
270,2081.2937
271,2064.5703
272,2006.1184
273,1977.4534
274,1977.3253
275,1937.3853
276,1818.6627
277,1895.8209
278,1827.053
279,1818.8428
280,1936.7476
281,1905.7002
282,2053.4124
283,2173.3833
284,2176.0002
285,2012.571
286,2081.9932
287,2118.3687
288,2099.018
289,2014.4601
290,2002.7732
291,2076.9297
292,2047.2827
293,2021.0408
294,1967.4526
295,1894.6091
296,1890.0153
297,1882.7804
298,1892.6321
299,1930.0447
300,1884.1866
301,1840.4751
302,1825.9305
303,1826.9111
304,1802.0656
305,1848.8109
306,1796.472
307,1786.435
308,1792.0732
309,1829.0438
310,1787.3206
311,1799.2589
312,1755.4253
313,1742.6224
314,1702.6431
315,1673.0282
316,1651.2382
317,1694.1904
318,1655.6613
319,1655.9949
320,1663.8563
321,1690.702
322,1699.1448
323,1686.501
324,1847.6141
325,1866.3231
326,1894.9349
327,1826.4553
328,1819.9934
329,1869.8423
330,1878.8907
331,1878.8907
332,1838.3622
333,1908.8641
334,1955.8749
335,2091.9402
336,1999.0707
337,2068.8306
338,2031.3679
339,2026.4865
340,2015.3599
341,2107.0095
342,2128.7249
343,2212.3257
344,2261.416
345,2389.2842
346,2542.0378
347,2459.6436
348,2405.3953
349,2404.5288
350,2435.4949
351,2402.2188
352,2386.6707
353,2374.652
354,2298.097
355,2298.7163
356,2293.1824
357,2401.9233
358,2275.9336
