,0
0,3745.5361
1,3512.481
2,3508.491
3,3265.4358
4,3272.6348
5,3311.0886
6,3106.8687
7,2982.8948
8,2857.3567
9,3088.712
10,3083.538
11,2902.99
12,2896.192
13,2933.855
14,3087.559
15,2945.529
16,3008.7761
17,3260.949
18,3736.1914
19,3824.6943
20,3628.5981
21,3612.8074
22,3691.613
23,3711.0017
24,3635.229
25,3509.044
26,3426.3782
27,3313.8572
28,3355.4873
29,3171.8118
30,3054.631
31,3048.5684
32,3311.5332
33,3492.168
34,3497.0615
35,3121.5032
36,3550.1995
37,4065.6794
38,4278.795
39,4285.1694
40,4571.0396
41,4658.0063
42,5036.4424
43,4655.4946
44,4615.6245
45,4424.577
46,4489.9604
47,4513.5513
48,5185.465
49,5902.512
50,5618.158
51,7239.3306
52,6532.2837
53,6035.29
54,5506.378
55,5650.572
56,5638.239
57,5882.8633
58,5890.34
59,5902.3193
60,6239.9575
61,5393.456
62,4772.6523
63,4941.077
64,4818.199
65,4099.126
66,4190.987
67,4190.987
68,4190.987
69,4762.604
70,4426.969
71,4540.698
72,4603.8477
73,4059.6184
74,3490.8047
75,3408.457
76,3593.274
77,3780.5784
78,3942.5845
79,3861.603
80,3844.6387
81,3581.359
82,3408.1394
83,3428.281
84,3436.4832
85,3578.4128
86,3497.1382
87,3437.551
88,3446.0706
89,3927.1929
90,3955.458
91,3621.4937
92,3636.2715
93,3468.2505
94,3259.9688
95,3353.8892
96,3119.6494
97,2818.6055
98,2982.608
99,2813.2888
100,2881.8423
101,3137.5881
102,3314.2478
103,2962.2742
104,2818.6824
105,2813.6755
106,3190.3694
107,3200.0283
108,3328.262
109,3800.796
110,3822.0813
111,4337.6167
112,3934.637
113,3777.3555
114,3946.0283
115,3854.2405
116,3828.769
117,3763.4695
118,3592.6006
119,3506.256
120,3826.6255
121,3715.6406
122,3784.758
123,3659.653
124,3853.0369
125,3883.7998
126,3767.8237
127,3786.4568
128,3692.7988
129,3725.6057
130,3666.1504
131,3516.7134
132,3587.1743
133,3597.155
134,3785.044
135,3632.6816
136,3602.1965
137,3675.893
138,3551.0027
139,3562.4004
140,3476.0144
141,3476.0144
142,3318.2437
143,3601.6245
144,3328.0217
145,3340.023
146,3264.049
147,3149.396
148,3177.0134
149,3260.7974
150,3254.4636
151,3531.2634
152,3378.0671
153,3324.1558
154,3165.2703
155,3104.734
156,3336.7527
157,3384.5295
158,3351.078
159,3387.3384
160,3393.5466
161,3427.919
162,3513.5276
163,3413.5186
164,3344.1394
165,3335.7231
166,3262.6057
167,3242.0664
168,3232.1116
169,3323.549
170,3268.8696
171,3187.911
172,3106.3171
173,3230.0806
174,3204.2769
175,3210.5696
176,3192.9802
177,3106.8523
178,3188.1565
179,3194.3574
180,3194.3574
181,3194.3574
182,3116.242
183,3075.0742
184,2716.9392
