,0
223,51698.355
224,50514.38
225,54098.195
226,52694.617
227,51485.05
228,50523.227
229,51070.242
230,50218.98
231,49671.066
232,49150.152
233,49278.26
234,51962.66
235,50778.473
236,50073.4
237,50208.86
238,50128.293
239,50055.92
240,50223.098
241,50651.207
242,49971.4
243,50036.42
244,51758.1
245,51274.19
246,56257.99
247,53604.86
248,55412.23
249,53687.273
250,51987.457
251,50385.676
252,48781.36
253,49545.535
254,51260.727
255,51844.824
256,50378.992
257,53666.47
258,59630.14
259,57094.37
260,62122.8
261,59102.54
262,57290.523
263,57253.61
264,56317.195
265,55602.992
266,54524.113
267,52657.05
268,53237.23
269,57785.46
270,58274.65
271,56331.246
272,56534.594
273,55927.723
274,55023.35
275,54732.8
276,52920.773
277,52938.812
278,51818.8
279,51624.117
280,51699.445
281,51542.555
282,53363.445
283,55080.72
284,54164.332
285,53349.188
286,51755.91
287,52772.934
288,52770.21
289,52449.484
290,52378.547
291,54499.246
292,54353.574
293,54657.668
294,53549.375
295,51114.426
296,51053.965
297,50494.996
298,50509.63
299,50253.1
300,48822.63
301,46808.945
302,47415.01
303,46358.496
304,48783.125
305,48225.906
306,47335.13
307,46780.324
308,47142.656
309,47776.434
310,46699.883
311,45864.293
312,45171.617
313,44998.863
314,44870.652
315,44010.625
316,42346.785
317,42714.12
318,41996.246
319,41402.92
320,41462.01
321,42183.37
322,43285.74
323,43410.242
324,45222.777
325,45257.35
326,46225.227
327,45177.59
328,46142.285
329,44740.746
330,45306.15
331,45306.15
332,44918.98
333,45370.297
334,45660.316
335,46960.06
336,45618.26
337,46047.32
338,46142.918
339,45427.043
340,45235.438
341,45217.906
342,46146.363
343,45970.434
344,45517.957
345,46172.434
346,45891.832
347,50066.684
348,50200.715
349,53088.633
350,58965.715
351,56846.242
352,56549.008
353,55816.48
354,55133.258
355,52159.28
356,53605.645
357,52813.496
358,52584.77
359,52712.29
360,53152.496
361,59424.01
362,57530.5
363,56332.797
364,56230.797
365,55919.344
366,57123.133
367,57480.145
368,55143.176
369,53641.723
370,53061.992
371,51984.766
372,51043.867
373,49941.312
374,50039.84
375,50649.82
376,51118.676
377,49931.652
378,50469.72
379,53157.88
380,54448.55
381,50705.69
382,51338.086
383,48400.33
384,48832.94
385,48269.426
386,48367.227
387,47813.473
388,45589.684
389,44308.47
390,43288.797
391,42871.79
392,43176.258
393,44346.895
394,44568.605
395,44929.54
396,44658.152
397,47599.055
398,47504.773
399,46898.074
400,47244.074
401,48557.254
402,51265.09
403,48821.324
404,48961.145
405,53076.984
406,54052.59
407,54740.426
408,54041.285
