,0
0,7267.1045
1,7158.5054
2,6952.267
3,7442.8423
4,8249.694
5,7948.393
6,7949.8647
7,7746.14
8,7862.952
9,8375.849
10,8010.5205
11,7626.9014
12,7031.427
13,7157.1123
14,7293.3804
15,8043.3447
16,8509.089
17,7731.7275
18,7623.139
19,7621.774
20,7921.1597
21,8267.357
22,8272.268
23,8348.8545
24,8239.866
25,8067.893
26,7872.003
27,7571.7734
28,7435.7393
29,6877.188
30,6867.9985
31,6925.5693
32,6904.612
33,6891.698
34,6652.884
35,6643.923
36,7200.7144
37,7109.3975
38,7180.393
39,7956.304
40,8500.849
41,8533.512
42,8510.296
43,8145.214
44,8436.738
45,8198.032
46,8146.174
47,8556.273
48,9844.095
49,11114.409
50,10216.183
51,9999.803
52,9744.445
53,9037.939
54,8735.041
55,9363.226
56,9211.996
57,9438.265
58,9884.402
59,10056.974
60,9914.288
61,9331.178
62,9173.704
63,9051.282
64,9379.899
65,8961.856
66,9093.136
67,8756.486
68,8735.3545
69,9066.117
70,9086.718
71,9195.785
72,9281.574
73,9449.118
74,8678.4
75,8846.105
76,9065.578
77,9619.976
78,10881.317
79,10262.892
80,10668.842
81,10638.368
82,10294.814
83,10137.983
84,12223.221
85,10369.741
86,12238.893
87,10907.569
88,12020.369
89,11261.763
90,11317.971
91,10393.329
92,10627.408
93,10425.917
94,11827.64
95,11640.243
96,10640.898
97,9219.528
98,8637.984
99,8514.962
100,8080.6353
101,7719.75
102,8430.87
103,8315.625
104,7891.0127
105,7890.98
106,8402.529
107,8358.209
108,8448.422
109,8561.526
110,8728.412
111,9303.803
112,9325.217
113,8875.36
114,9125.328
115,9145.802
116,8975.85
117,8595.52
118,8267.72
119,8105.8066
120,8134.7896
121,8021.2256
122,8109.134
123,8948.723
124,10459.296
125,11380.229
126,10131.096
127,9845.24
128,9736.138
129,11106.721
130,10599.008
131,10174.825
132,10088.631
133,10124.871
134,11358.393
135,10864.104
136,10781.948
137,10350.62
138,9934.681
139,10044.879
140,9404.444
141,9404.444
142,9067.653
143,8857.6045
144,8932.292
145,8936.345
146,9061.003
147,9002.5205
148,8648.773
149,8233.805
150,8116.925
151,8270.774
152,8446.621
153,8558.188
154,8295.005
155,8250.282
156,8196.274
157,8281.308
158,8605.838
159,9341.2295
160,9508.964
161,9256.885
162,8690.784
163,8648.234
164,8350.905
165,8351.166
166,8325.276
167,8291.533
168,8243.358
169,8264.053
170,8304.684
171,8333.229
172,8155.796
173,8239.243
174,8521.513
175,8541.518
176,8445.299
177,8783.502
178,8521.559
179,8644.75
180,8644.75
181,8644.75
182,8273.984
183,8143.8916
184,7519.1562
185,7548.1743
186,7879.737
187,8119.498
188,7927.955
189,7868.6924
190,7946.108
191,8216.4
192,8084.0576
193,8239.659
194,9209.978
195,8812.256
196,8529.439
197,8451.428
198,8235.78
199,8326.876
200,8123.704
201,7927.697
202,8321.088
203,7962.833
204,8165.159
205,8652.285
206,9400.654
207,8875.811
208,8398.779
209,9459.872
210,7957.83
211,8964.121
212,9669.492
213,8626.197
214,7718.3354
215,6933.159
216,6961.573
217,6986.546
218,7284.292
219,7546.1235
220,7337.029
